_id,code,createdAt,description,name,updatedAt
5fcb2af7bd66d830e82d61ef,H,2020-12-05T06:38:47.752Z,District on the South West South side of the island.,Soufriere,2021-02-14T03:11:28.305Z
5fe784ea81e77b3b405c5faa,I,2020-12-26T18:46:02.230Z,Borders Soufriere to the west and Laborie to the east,Choiseul,2021-02-14T03:10:51.528Z
60171762d7a5c51dc8e3eefe,A,2021-01-31T20:47:30.446Z,"",Gros-Islet,2021-01-31T20:47:30.446Z
601717a2d7a5c51dc8e3eeff,B,2021-01-31T20:48:34.967Z,,Babonneau,2021-01-31T20:48:34.967Z
601717b3d7a5c51dc8e3ef00,C,2021-01-31T20:48:51.419Z,,Castries North,2021-01-31T20:48:51.419Z
601717cfd7a5c51dc8e3ef01,E,2021-01-31T20:49:19.289Z,,Castries Central,2021-01-31T20:50:02.344Z
60171a2dd7a5c51dc8e3ef03,F,2021-01-31T20:59:25.875Z,"",Castries South,2021-01-31T20:59:25.875Z
60171a47d7a5c51dc8e3ef04,G,2021-01-31T20:59:51.415Z,,Anse La Raye / Canaries,2021-01-31T20:59:51.415Z
60171a8cd7a5c51dc8e3ef05,J,2021-01-31T21:01:00.824Z,"",Laborie,2021-01-31T21:01:00.824Z
60171a9cd7a5c51dc8e3ef06,K,2021-01-31T21:01:16.134Z,,Vieux-Fort South,2021-01-31T21:01:16.134Z
60171aa8d7a5c51dc8e3ef07,L,2021-01-31T21:01:28.365Z,,Vieux-Fort North,2021-01-31T21:01:28.365Z
60171ab6d7a5c51dc8e3ef08,M,2021-01-31T21:01:42.145Z,,Micoud South,2021-01-31T21:01:42.145Z
60171acdd7a5c51dc8e3ef09,N,2021-01-31T21:02:05.835Z,,Micoud North,2021-01-31T21:02:05.835Z
60171ad9d7a5c51dc8e3ef0a,O,2021-01-31T21:02:17.864Z,,Dennery South,2021-01-31T21:02:17.864Z
60171ae5d7a5c51dc8e3ef0b,P,2021-01-31T21:02:29.435Z,,Dennery North,2021-01-31T21:02:29.435Z
60171af7d7a5c51dc8e3ef0c,Q,2021-01-31T21:02:47.591Z,,Castries South East,2021-01-31T21:02:47.591Z
60172324d7a5c51dc8e3ef19,D,2021-01-31T21:37:40.216Z,"",Castries East,2021-01-31T21:37:40.216Z
